 2018rank,City,State[c],2018estimate,2010Census,Change,2016  land  area,2016  population  density,Location , wiki_link,County,Settled,Incorporated,Type,Mayor,City,Land,Water,Elevation,Time  zone,Summer  (DST),Website,ZIP  Codes,Area  codes,Density 
 11,Austin,Texas,964254,790390,+22.00%,312.7sqmi;809.9km2,3031/sqmi;1170/km2,301814N  974516W  /  30.3039N  97.7544W  /  30.3039;  -97.7544  (11  Austin) ,https://en.wikipedia.org/wiki/Austin_Texas,,1835, December  27  1839 ,Councilmanager, Steve  Adler  (D)[1] ,, 297.9sqmi  (771.5km2) , 7.2sqmi  (18.6km2) , 289  -  1330ft  (88  -  405m) , UTC6  (CST) , UTC5  (CDT) ,www.austintexas.gov, 7870178705  7870878739  7874178742  7874478769 , 512  &  737 , 3182/sqmi  (1228.6/km2) 
 12,Jacksonville[f],Florida,903889,821784,+9.99%,747.4sqmi;1935.8km2,1178/sqmi;455/km2,302013N  813942W  /  30.3369N  81.6616W  /  30.3369;  -81.6616  (12  Jacksonville) ,https://en.wikipedia.org/wiki/Jacksonville_Florida,Duval,,1832, Strong  MayorCouncil , Lenny  Curry  (R) ,, 747.45sqmi  (1935.87km2) , 127.19sqmi  (329.42km2) ,, UTC5  (Eastern  (EST)) , UTC4  (EDT) , City  of  Jacksonville , 32099  3220132212  3221432241  3224432247  32250  3225432260  32266  32267  32277  32290 ,, 1178.17/sqmi  (454.89/km2) 
 13,Fort  Worth,Texas,895008,741206,+20.75%,342.9sqmi;888.1km2,2491/sqmi;962/km2,324653N  972048W  /  32.7815N  97.3467W  /  32.7815;  -97.3467  (16  Fort  Worth) ,https://en.wikipedia.org/wiki/Fort_Worth_Texas,,,1873[4],Council-Manager, Betsy  Price  (R) , 349.2sqmi  (904.4km2)874168  (US:  13th) , 342.2sqmi  (886.3km2) , 7.0sqmi  (18.1km2) , 653ft  (216m) , UTC6  (CST) , UTC5  (CDT) ,fortworthtexas.gov, 76120  76008  76028  76036  76101-76124  76126-76127  76130-76137  76140  76147-76148  76150  76155  76161-76164  76166  76177  76179  76180-76182  76185  76191-76193  76195-76199  76244  76247  76262  76129  (exclusive  to  TCU)  76107 , 682  and  817 , 2181.0/sqmi  (842.0/km2) 
 14,Columbus,Ohio,892533,787033,+13.40%,218.5sqmi;565.9km2,3936/sqmi;1520/km2,395907N  825905W  /  39.9852N  82.9848W  /  39.9852;  -82.9848  (15  Columbus) ,https://en.wikipedia.org/wiki/Columbus_Ohio,, February  14  1812 ,,, Andrew  J.  Ginther  (D) ,, 217.17sqmi  (562.47km2) , 5.94sqmi  (15.38km2) , 902ft  (275m) , UTC-5  (EST) , UTC-4  (EDT) , City  of  Columbus ,, 614  380  740 , 3960.44/sqmi  (1399.2/km2) 
 15,San  Francisco[g],California,883305,805235,+9.70%,46.9sqmi;121.5km2,18569/sqmi;7170/km2,374338N  1230156W  /  37.7272N  123.0322W  /  37.7272;  -123.0322  (13  San  Francisco) ,https://en.wikipedia.org/wiki/San_Francisco,,, April  15  1850[3] ,Mayor-council, London  Breed  (D)[4] ,, 46.89sqmi  (121.46km2) , 185.00sqmi  (479.14km2)  80.00% ,, UTC8  (Pacific  Time  Zone) , UTC7  (Pacific  Daylight  Time) ,sf.gov,,415/628[16], 18838/sqmi  (7272/km2) 
 16,Charlotte,North  Carolina,872498,731424,+19.29%,305.4sqmi;791.0km2,2757/sqmi;1064/km2,351228N  804952W  /  35.2078N  80.8310W  /  35.2078;  -80.8310  (17  Charlotte) ,https://en.wikipedia.org/wiki/Charlotte_North_Carolina,Mecklenburg,1755,1768,Council-manager, Vi  Lyles  (D) , 305.4sqmi  (771km2)731424 ,,,, UTC5  (EST) , UTC4  (EDT) ,charlottenc.gov,, 704  980 , 2400/sqmi  (950/km2) 
 17,Indianapolis[h],Indiana,867125,820445,+5.69%,361.5sqmi;936.3km2,2366/sqmi;914/km2,394636N  860845W  /  39.7767N  86.1459W  /  39.7767;  -86.1459  (14  Indianapolis) ,https://en.wikipedia.org/wiki/Indianapolis,Marion,,, Strong  mayorcouncil , Joe  Hogsett  (D) ,, 361.51sqmi  (936.30km2) , 6.52sqmi  (16.88km2) , 715ft  (218m) , UTC5  (EST) , UTC4  (EDT) ,www.indy.gov, 61  total  ZIP  codes:  4620146209  46211  46214  4621646231  4623446237  4623946242  46244  46247  4624946251  4625346256  4625946260  46266  46268  4627446275  4627746278  46280  4628246283  46285  4629046291  4629546296  46298 ,, 2365.55/sqmi  (913.34/km2) 
 18,Seattle,Washington,744955,608660,+22.39%,83.8sqmi;217.0km2,8405/sqmi;3245/km2,473714N  1222103W  /  47.6205N  122.3509W  /  47.6205;  -122.3509  (20  Seattle) ,https://en.wikipedia.org/wiki/Seattle,King,, December  2  1869 ,Mayorcouncil, Jenny  Durkan  (D) , 142.07sqmi  (367.96km2)608660 , 83.86sqmi  (217.19km2) , 58.21sqmi  (150.77km2) ,, UTC8  (PST) , UTC7  (PDT) ,Seattle.gov, .mw-parser-output  .nobold{font-weight:normal}ZIP  codes[7][8] ,, 8642.42/sqmi  (3336.87/km2) 
 19,Denver[i],Colorado,716492,600158,+19.38%,153.3sqmi;397.0km2,4521/sqmi;1746/km2,394543N  1045252W  /  39.7619N  104.8811W  /  39.7619;  -104.8811  (Denver) ,https://en.wikipedia.org/wiki/Denver,,, November  7  1861  as  Denver  City  C.T.[7] , Consolidated  City  and  County[1] , Michael  Hancock  (D)[10] ,, 153.33sqmi  (397.13km2) , 1.63sqmi  (4.23km2)  1.1% ,, UTC7  (MST) , UTC6  (MDT) ,denvergov.org,,, 4519.94/sqmi  (1745.15/km2) 
 20,Washington  D.C.[j],District  of  Columbia,702455,601723,+16.74%,61.1sqmi;158.2km2,11148/sqmi;4304/km2,385415N  770102W  /  38.9041N  77.0172W  /  38.9041;  -77.0172  (Washington  D.C.) ,https://en.wikipedia.org/wiki/Washington_D.C.,,,,, Muriel  Bowser(D) ,, 61.05sqmi  (158.1km2) , 7.29sqmi  (18.9km2) ,, UTC5  (EST) , UTC4  (EDT) ,dc.gov, 2000120098  2020120599 ,, 11367/sqmi  (4389/km2) 
 21,Boston,Massachusetts,694583,617594,+12.47%,48.3sqmi;125.1km2,13938/sqmi;5381/km2,421955N  710113W  /  42.3320N  71.0202W  /  42.3320;  -71.0202  (Boston) ,https://en.wikipedia.org/wiki/Boston,Suffolk,,, Strong  mayor  /  Council , Marty  Walsh(D) , 89.63sqmi  (232.14km2)617594 , 48.42sqmi  (125.41km2) , 41.21sqmi  (106.73km2) , 141ft  (43m) , UTC5  (EST) , UTC4  (EDT) ,Boston.gov, 53  ZIP  codes[7]  0210802137  02163  02196  02199  02201  02203  02204  02205  02206  02210  02211  02212  02215  02217  02222  02126  02228  02241  02266  02283  02284  02293  02295  02297  02298  02467  (also  includes  parts  of  Newton  and  Brookline) , 617  and  857 , 14345/sqmi  (5538/km2) 
 22,El  Paso,Texas,682669,649121,+5.17%,256.8sqmi;665.1km2,2660/sqmi;1030/km2,315054N  1062537W  /  31.8484N  106.4270W  /  31.8484;  -106.4270  (19  El  Paso) ,https://en.wikipedia.org/wiki/El_Paso_Texas, El  Paso ,,1873,Councilmanager,, 256.3sqmi  (663.7km2) , 255.3sqmi  (661.1km2) , 1.0sqmi  (2.6km2) , 3740ft  (1140m) , UTC7  (MST) , UTC6  (MDT) ,www.elpasotexas.gov, 79900-7999988500-88599  (PO  Boxes) ,915,
 23,Detroit,Michigan,672662,713777,5.76%,138.8sqmi;359.5km2,4847/sqmi;1871/km2,422259N  830608W  /  42.3830N  83.1022W  /  42.3830;  -83.1022  (18  Detroit) ,https://en.wikipedia.org/wiki/Detroit,Wayne,, September  13  1806 ,Mayorcouncil, Mike  Duggan  (D) , 142.89sqmi  (370.08km2)713777 , 138.72sqmi  (359.27km2) , 4.17sqmi  (10.81km2) ,, UTC5  (EST) , UTC4  (EDT) , Official  website ,,, 4852.42/sqmi  (1873.54/km2) 
 24,Nashville[k],Tennessee,669053,601222,+11.28%,475.9sqmi;1232.6km2,1388/sqmi;536/km2,361018N  864706W  /  36.1718N  86.7850W  /  36.1718;  -86.7850  (Nashville) ,https://en.wikipedia.org/wiki/Nashville_Tennessee,Davidson,,1806,, David  Briley[1]  (D[1]) ,, 504.03sqmi  (1305.4km2) , 21.91sqmi  (56.7km2) , 597ft  (182m) , UTC6  (CST) , UTC5  (CDT) ,www.nashville.gov,,, 1300/sqmi  (510/km2) 
 25,Portland,Oregon,653115,583776,+11.88%,133.5sqmi;345.8km2,4793/sqmi;1851/km2,453213N  1223900W  /  45.5370N  122.6500W  /  45.5370;  -122.6500  (Portland) ,https://en.wikipedia.org/wiki/Portland_Oregon,,, February  8  1851 ,Commission, Ted  Wheeler[2]  (D) , 145sqmi  (376km2)583776 , 133sqmi  (346km2) , 12sqmi  (30km2) , 50ft  (15.2m) , UTC08:00  (PST) , UTC07:00  (PDT) ,PortlandOregon.gov,97086-97299, 503  and  971 , 4504.2/sqmi  (1737/km2) 
 26,Memphis,Tennessee,650618,646889,+0.58%,317.4sqmi;822.1km2,2056/sqmi;794/km2,350610N  895839W  /  35.1028N  89.9774W  /  35.1028;  -89.9774  (Memphis) ,https://en.wikipedia.org/wiki/Memphis_Tennessee,Shelby,, December  19  1826 ,, Jim  Strickland  (D) , 324.0sqmi  (839.2km2)646889 , 315.1sqmi  (816.0km2) , 9.0sqmi  (23.2km2) , 337ft  (103m) , UTC6  (CST) , UTC5  (CDT) , City  of  Memphis , Zip  codes[3] ,, 2000/sqmi  (770/km2) 
 27,Oklahoma  City,Oklahoma,649021,579999,+11.90%,606.3sqmi;1570.3km2,1053/sqmi;407/km2,352802N  973049W  /  35.4671N  97.5137W  /  35.4671;  -97.5137  (Oklahoma  City) ,https://en.wikipedia.org/wiki/Oklahoma_City,,, July  15  1890[3] , Council    Manager , David  Holt  (R) , 620.34sqmi  (1606.67km2)579999 , 601.11sqmi  (1556.87km2) , 19.23sqmi  (49.81km2) , 1201ft  (366m) , UTC6  (CST) , UTC5  (CDT) , Oklahoma  City  official  website , Zip  codes[6] ,, 930/sqmi  (360/km2) 
 28,Las  Vegas,Nevada,644644,583756,+10.43%,134.4sqmi;348.1km2,4709/sqmi;1818/km2,361345N  1151536W  /  36.2292N  115.2601W  /  36.2292;  -115.2601  (Las  Vegas) ,https://en.wikipedia.org/wiki/Las_Vegas,Clark,, March  16  1911 ,Councilmanager, Carolyn  Goodman  (I) , 135.8sqmi  (352km2)583756 , 135.8sqmi  (352km2) , 0.05sqmi  (0.1km2) , 2001ft  (610m) , UTC8  (PST) , UTC7  (PDT) ,lasvegasnevada.gov,,, 4300/sqmi  (1700/km2) 
 29,Louisville[l],Kentucky,620118,597337,+3.81%,263.5sqmi;682.5km2,2339/sqmi;903/km2,380955N  853851W  /  38.1654N  85.6474W  /  38.1654;  -85.6474  (Louisville) ,https://en.wikipedia.org/wiki/Louisville_Kentucky,Jefferson,,1828[6],Mayorcouncil, Greg  Fischer  (D) ,, 380.46sqmi  (985.4km2) , 17.23sqmi  (44.6km2) , 466ft  (142m) , UTC-5  (EST) , UTC-4  (EDT) ,LouisvilleKy.gov,,, 1924/sqmi  (743.0/km2) 
 30,Baltimore[m],Maryland,602495,620961,2.97%,80.9sqmi;209.5km2,7598/sqmi;2934/km2,391800N  763638W  /  39.3000N  76.6105W  /  39.3000;  -76.6105  (Baltimore) ,https://en.wikipedia.org/wiki/Baltimore, None  (Independent  city) ,,17961797,Mayorcouncil, Jack  Young  (D) ,, 80.95sqmi  (209.65km2) , 11.10sqmi  (28.76km2)  12.1% ,, UTC5  (EST) , UTC4  (EDT) , City  of  Baltimore , Zip  codes[8] , 410  443  and  667 , 7556.25/sqmi  (2917.48/km2) 
 31,Milwaukee,Wisconsin,592025,594833,0.47%,96.2sqmi;249.2km2,6186/sqmi;2388/km2,430348N  875800W  /  43.0633N  87.9667W  /  43.0633;  -87.9667  (Milwaukee) ,https://en.wikipedia.org/wiki/Milwaukee,,, January31  1846;  173  years  ago , Strong  mayor-council , Tom  Barrett  (D) , 96.82sqmi  (250.75km2)594833 , 96.19sqmi  (249.12km2) , 0.63sqmi  (1.63km2) , 617ft  (188m) , UTC6  (CST) , UTC5  (CDT) ,city.milwaukee.gov, 53172  5320153216  5321853228  5323353234  53237  53259  53263  5326753268  53274  53278  53288  53290  53293  53295 ,, 6189.58/sqmi  (2389.82/km2) 
 32,Albuquerque,New  Mexico,560218,545852,+2.63%,188.2sqmi;487.4km2,2972/sqmi;1147/km2,350620N  1063851W  /  35.1056N  106.6474W  /  35.1056;  -106.6474  (Albuquerque) ,https://en.wikipedia.org/wiki/Albuquerque_New_Mexico,Bernalillo,, 1891  (as  Albuquerque) , Mayor-council  government , Tim  Keller  (D) , 189.5sqmi  (490.9km2)545852 , 187.7sqmi  (486.2km2) , 1.8sqmi  (4.7km2) , 5312ft  (1619.1m) , UTC7  (MST) , UTC6  (MDT) ,www.cabq.gov, 8710187125  8713187151  87153  8715487158  87174  8717687181  87184  8718587187  8719087199 , 505  575 , 2900/sqmi  (1100/km2) 
 33,Tucson,Arizona,545975,520116,+4.97%,230.8sqmi;597.8km2,2299/sqmi;888/km2,320911N  1105214W  /  32.1531N  110.8706W  /  32.1531;  -110.8706  (Tucson) ,https://en.wikipedia.org/wiki/Tucson_Arizona,Pima,, February  7  1877[1] , Council-manager  government , Jonathan  Rothschild  (D) , 236.50sqmi  (612.55km2)520116 , 236.19sqmi  (611.73km2) , 0.32sqmi  (0.82km2) , 2389ft  (728m) , UTC7  (MST  (no  DST)) ,,www.tucsonaz.gov,,, 2246.95/sqmi  (867.55/km2) 
 34,Fresno,California,530093,494665,+7.16%,114.4sqmi;296.3km2,4563/sqmi;1762/km2,364701N  1194736W  /  36.7836N  119.7934W  /  36.7836;  -119.7934  (Fresno) ,https://en.wikipedia.org/wiki/Fresno_California,,,,,,,,,,,,,,,
 35,Mesa,Arizona,508958,439041,+15.92%,137.9sqmi;357.2km2,3514/sqmi;1357/km2,332407N  1114303W  /  33.4019N  111.7174W  /  33.4019;  -111.7174  (Mesa) ,https://en.wikipedia.org/wiki/Mesa_Arizona,Maricopa,,,, John  Giles  (R) , 138.63sqmi  (359.05km2)439041 , 137.88sqmi  (357.10km2) , 0.75sqmi  (1.95km2) ,, UTC7  (MST  (no  DST)) ,,www.mesaaz.gov,,, 3514.66/sqmi  (1357.01/km2) 
 36,Sacramento,California,508529,466488,+9.01%,97.9sqmi;253.6km2,5059/sqmi;1953/km2,383400N  1212807W  /  38.5666N  121.4686W  /  38.5666;  -121.4686  (Sacramento) ,https://en.wikipedia.org/wiki/Sacramento_California,Sacramento,, February  27  1850[1] , City  Council[3] , Darrell  Steinberg  (D)[4] , 100.11sqmi  (259.27km2)466488 , 97.92sqmi  (253.62km2) , 2.18sqmi  (5.65km2)  2.19% ,, UTC8  (PST) , UTC7  (PDT) ,cityofsacramento.org,,, 5057.33/sqmi  (1952.65/km2) 
 37,Atlanta,Georgia,498044,420003,+18.58%,133.5sqmi;345.8km2,3539/sqmi;1366/km2,334546N  842522W  /  33.7629N  84.4227W  /  33.7629;  -84.4227  (Atlanta) ,https://en.wikipedia.org/wiki/Atlanta,,,,, Keisha  Lance  Bottoms  (D) ,, 133.2sqmi  (344.9km2) , 0.8sqmi  (2.2km2) , 738  to  1050ft  (225  to  320m) , UTC5  (EST) , UTC4  (EDT) ,atlantaga.gov, 30060  3030130322  3032430334  3033630350  30340  30353  30363 ,404/678/470/770, 3547/sqmi  (1370/km2) 
 38,Kansas  City,Missouri,491918,459787,+6.99%,315.0sqmi;815.8km2,1528/sqmi;590/km2,390730N  943304W  /  39.1251N  94.5510W  /  39.1251;  -94.5510  (Kansas  City  MO) ,https://en.wikipedia.org/wiki/Kansas_City_Missouri,,, June  1  1850  (as  the  Town  of  Kansas);  March  28  1853  (as  the  City  of  Kansas) ,, Sly  James  (D) , 319.03sqmi  (826.28km2)459787 , 314.95sqmi  (815.72km2) , 4.08sqmi  (10.57km2) , 910ft  (277m) , UTC  06:00  (CST) , UTC  05:00  (CDT) ,KCMO.gov, 64101-64102  64105-64106  64108-64114  64116-64121  64123-64134  64136-64139  64141  64144-64149  64151-64158  64161  64163-64168  64170-64172  64179-64180  64183-64184  64187-64188  64190-64193  64195-64199  64999[3] , 816  975  (planned) , 1400/sqmi  (560/km2) 
 39,Colorado  Springs,Colorado,472688,416427,+13.51%,195.6sqmi;506.6km2,2378/sqmi;918/km2,385202N  1044539W  /  38.8673N  104.7607W  /  38.8673;  -104.7607  (Colorado  Springs) ,https://en.wikipedia.org/wiki/Colorado_Springs_Colorado,,, June  19  1871[5] , Home  rule  municipality[4] , John  Suthers ,, 194.74sqmi  (504.38km2) , 0.37sqmi  (0.95km2) , 6035ft  (1839m) , UTC7  (MST) , UTC6  (MDT) ,coloradosprings.gov,,, 2388.31/sqmi  (922.13/km2) 
 40,Miami,Florida,470914,399457,+17.89%,36.0sqmi;93.2km2,12599/sqmi;4865/km2,254631N  801231W  /  25.7752N  80.2086W  /  25.7752;  -80.2086  (Miami) ,https://en.wikipedia.org/wiki/Miami,Miami-Dade,1825, July  28  1896 ,Mayorcommission, Francis  X.  Suarez  (R) ,, 35.99sqmi  (93.20km2) , 20.08sqmi  (52.00km2) , 6ft  (2m) , UTC5  (Eastern  (EST)) , UTC4  (EDT) ,miamigov.com,,, 12604.32/sqmi  (4866.49/km2) 
 41,Raleigh,North  Carolina,469298,403892,+16.19%,145.1sqmi;375.8km2,3163/sqmi;1221/km2,354950N  783830W  /  35.8306N  78.6418W  /  35.8306;  -78.6418  (Raleigh) ,https://en.wikipedia.org/wiki/Raleigh_North_Carolina,,,,CouncilManager, Nancy  McFarlane  (I) ,, 142.8sqmi  (369km2) , 2.0sqmi  (2.5km2) , 315ft  (96m) , UTC05:00  (EST) , UTC04:00  (EDT) ,raleighnc.gov,,, 3284/sqmi  (1268/km2) 
 42,Omaha,Nebraska,468262,408958,+14.50%,133.2sqmi;345.0km2,3356/sqmi;1296/km2,411552N  960242W  /  41.2644N  96.0451W  /  41.2644;  -96.0451  (Omaha) ,https://en.wikipedia.org/wiki/Omaha_Nebraska,Douglas,,1857,, Jean  Stothert  (R) , 141.81sqmi  (367.27km2)466061 , 138.21sqmi  (357.95km2) , 3.60sqmi  (9.32km2) , 1090ft  (332m) , UTC06:00  (CST) , UTC05:00  (CDT) ,www.cityofomaha.org, 68022  6810168164 ,, 3378.26/sqmi  (1304.35/km2) 
 43,Long  Beach,California,467354,462257,+1.10%,50.3sqmi;130.3km2,9347/sqmi;3609/km2,334833N  1180919W  /  33.8092N  118.1553W  /  33.8092;  -118.1553  (Long  Beach) ,https://en.wikipedia.org/wiki/Long_Beach_California, Los  Angeles ,, December  13  1897[2] ,Council-manager[3], Robert  Garcia  (D)[4] , 51.48sqmi  (133.32km2)462257 , 50.32sqmi  (130.32km2) , 1.16sqmi  (3.00km2)  2.22% ,, UTC08:00  (Pacific) , UTC07:00  (PDT) ,www.longbeach.gov,,, 9343.55/sqmi  (3607.56/km2) 
 44,Virginia  Beach[m],Virginia,450189,437994,+2.78%,244.7sqmi;633.8km2,1850/sqmi;710/km2,364648N  760131W  /  36.7800N  76.0252W  /  36.7800;  -76.0252  (Virginia  Beach) ,https://en.wikipedia.org/wiki/Virginia_Beach_Virginia, None  (Independent  city) ,,,Council-manager, Bobby  Dyer  (R) ,, 244.72sqmi  (633.83km2) , 252.78sqmi  (654.68km2) , 10ft  (3m) , UTC5  (EST) , UTC4  (EDT) ,www.vbgov.com,,, 1840.58/sqmi  (710.65/km2) 
 45,Oakland,California,429082,390724,+9.82%,55.9sqmi;144.8km2,7514/sqmi;2901/km2,374611N  1221333W  /  37.7698N  122.2257W  /  37.7698;  -122.2257  (Oakland) ,https://en.wikipedia.org/wiki/Oakland_California,Alameda,, May  4  1852[3][4] , Strong  mayor[6] , Libby  Schaaf  (D)[7] ,, 55.89sqmi  (144.76km2) , 21.97sqmi  (56.90km2)  28.48% ,, UTC08:00  (Pacific) , UTC07:00  (PDT) ,www.oaklandca.gov[16][17][18], 9460194615  9461794624  94649  9465994662  94666[15] ,, 7514.45/sqmi  (2901.34/km2) 
 46,Minneapolis,Minnesota,425403,382578,+11.19%,54.0sqmi;139.9km2,7660/sqmi;2960/km2,445748N  931606W  /  44.9633N  93.2683W  /  44.9633;  -93.2683  (Minneapolis) ,https://en.wikipedia.org/wiki/Minneapolis,Hennepin,,1867, Weak  mayorcouncil , Jacob  Frey  (D) , 57.49sqmi  (148.89km2)382578 , 54.00sqmi  (139.86km2) , 3.49sqmi  (9.03km2) , 830ft  (264m) , UTC6  (CST) , UTC5  (CDT) ,www.minneapolismn.gov, 5540155488  (range  includes  some  ZIP  Codes  for  Minneapolis  suburbs) ,, 7820.80/sqmi  (3019.64/km2) 
 47,Tulsa,Oklahoma,400669,391906,+2.24%,196.8sqmi;509.7km2,2048/sqmi;791/km2,360740N  955408W  /  36.1279N  95.9023W  /  36.1279;  -95.9023  (Tulsa) ,https://en.wikipedia.org/wiki/Tulsa_Oklahoma,,,,Mayor-Council, G.  T.  Bynum  (R) , 196.8sqmi  (483.8km2)391906 , 192.7sqmi  (483.1km2) , 4.2sqmi  (10.9km2) , 722ft  (194m) , UTC6  (CST) , UTC5  (CDT) ,cityoftulsa.org,,, 2074/sqmi  (801/km2) 
